,LAUS Code,State FIPS Code,County FIPS Code,County Name/State Abbreviation,Labor Force,Employed,Unemployed Level,Unemployed Rate
19,CN0103900000000,1,39," Covington County, AL",16743.074074074073,15494.148148148148,1212.1724137931035,7.224137931034484
20,CN0104100000000,1,41," Crenshaw County, AL",6129.333333333333,5684.962962962963,433.2758620689655,7.082758620689655
21,CN0104300000000,1,43," Cullman County, AL",37079.851851851854,34942.0,2137.8518518518517,5.679310344827588
22,CN0104500000000,1,45," Dale County, AL",20664.74074074074,19372.703703703704,1266.9655172413793,6.120689655172415
23,CN0104700000000,1,47," Dallas County, AL",17746.0,15658.407407407407,2087.5925925925926,11.441379310344827
24,CN0104900000000,1,49," DeKalb County, AL",30390.333333333332,28407.962962962964,1982.3703703703704,6.4448275862068956
25,CN0105100000000,1,51," Elmore County, AL",31908.85185185185,30210.0,1698.851851851852,5.1689655172413795
26,CN0105300000000,1,53," Escambia County, AL",15220.851851851852,14005.0,1184.1724137931035,7.810344827586207
27,CN0105500000000,1,55," Etowah County, AL",46123.40740740741,42850.851851851854,3272.5555555555557,6.927586206896551
28,CN0105700000000,1,57," Fayette County, AL",7617.0,7030.37037037037,569.6896551724138,7.4896551724137925
29,CN0105900000000,1,59," Franklin County, AL",14523.333333333334,13380.888888888889,1111.1724137931035,7.682758620689655
30,CN0106100000000,1,61," Geneva County, AL",11508.25925925926,10791.407407407407,698.3103448275862,6.072413793103449
31,CN0106300000000,1,63," Greene County, AL",3339.1481481481483,2939.814814814815,386.3448275862069,11.496551724137934
32,CN0106500000000,1,65," Hale County, AL",6671.666666666667,6079.814814814815,577.3103448275862,8.658620689655175
33,CN0106700000000,1,67," Henry County, AL",6942.481481481482,6462.37037037037,468.55172413793105,6.731034482758622
34,CN0106900000000,1,69," Houston County, AL",44542.2962962963,42083.48148148148,2458.814814814815,5.372413793103449
35,CN0107100000000,1,71," Jackson County, AL",25230.88888888889,23238.0,1992.888888888889,7.700000000000001
36,CN0107300000000,1,73," Jefferson County, AL",318885.8888888889,301365.0,17520.88888888889,5.424137931034483
37,CN0107500000000,1,75," Lamar County, AL",6678.7037037037035,6140.148148148148,524.1724137931035,7.86551724137931
38,CN0107700000000,1,77," Lauderdale County, AL",42123.333333333336,39250.40740740741,2872.925925925926,6.65862068965517
39,CN0107900000000,1,79," Lawrence County, AL",15273.333333333334,14109.333333333334,1140.5172413793102,7.4689655172413785
40,CN0108100000000,1,81," Lee County, AL",58982.74074074074,55889.37037037037,3093.3703703703704,5.068965517241379
41,CN0108300000000,1,83," Limestone County, AL",33914.74074074074,31987.296296296296,1927.4444444444443,5.544827586206896
42,CN0108500000000,1,85," Lowndes County, AL",4387.2962962962965,3822.6296296296296,552.0689655172414,12.558620689655173
43,CN0108700000000,1,87," Macon County, AL",8503.851851851852,7777.814814814815,709.8275862068965,8.296551724137931
44,CN0108900000000,1,89," Madison County, AL",154366.2962962963,146604.44444444444,7761.851851851852,4.865517241379309
45,CN0109100000000,1,91," Marengo County, AL",9099.518518518518,8351.666666666666,727.0689655172414,7.986206896551723
46,CN0109300000000,1,93," Marion County, AL",13670.25925925926,12526.37037037037,1106.3103448275863,8.120689655172415
47,CN0109500000000,1,95," Marshall County, AL",39956.666666666664,37364.40740740741,2592.259259259259,6.34137931034483
48,CN0109700000000,1,97," Mobile County, AL",187171.4814814815,174149.7037037037,13021.777777777777,6.793103448275861
49,CN0109900000000,1,99," Monroe County, AL",9172.037037037036,8117.2962962962965,1021.8275862068965,11.024137931034481
50,CN0110100000000,1,101," Montgomery County, AL",105842.4074074074,99610.88888888889,6231.518518518518,5.786206896551724
51,CN0110300000000,1,103," Morgan County, AL",55103.59259259259,51685.51851851852,3418.074074074074,6.06551724137931
52,CN0110500000000,1,105," Perry County, AL",4061.814814814815,3562.740740740741,486.17241379310343,11.903448275862072
53,CN0110700000000,1,107," Pickens County, AL",8266.148148148148,7539.37037037037,705.7241379310345,8.527586206896553
54,CN0110900000000,1,109," Pike County, AL",14251.666666666666,13329.074074074075,901.0689655172414,6.30344827586207
55,CN0111100000000,1,111," Randolph County, AL",9567.111111111111,8864.0,693.448275862069,7.258620689655173
56,CN0111300000000,1,113," Russell County, AL",23243.222222222223,21670.40740740741,1572.8148148148148,6.737931034482759
57,CN0111500000000,1,115," St. Clair County, AL",33010.03703703704,31227.444444444445,1782.5925925925926,5.206896551724137
58,CN0111700000000,1,117," Shelby County, AL",87798.5925925926,84450.5925925926,3348.0,3.627586206896552
59,CN0111900000000,1,119," Sumter County, AL",5468.592592592592,4901.333333333333,551.551724137931,10.003448275862068
60,CN0112100000000,1,121," Talladega County, AL",35705.48148148148,32895.40740740741,2810.074074074074,7.682758620689656
61,CN0112300000000,1,123," Tallapoosa County, AL",19047.14814814815,17753.0,1266.2758620689656,6.682758620689655
62,CN0112500000000,1,125," Tuscaloosa County, AL",85747.85185185185,81275.62962962964,4472.222222222223,5.044827586206896
63,CN0112700000000,1,127," Walker County, AL",28640.037037037036,26377.0,2263.037037037037,7.655172413793101
64,CN0112900000000,1,129," Washington County, AL",6762.222222222223,6008.740740740741,730.1034482758621,10.834482758620691
65,CN0113100000000,1,131," Wilcox County, AL",3520.5555555555557,2989.6666666666665,516.5862068965517,14.803448275862067
66,CN0113300000000,1,133," Winston County, AL",10759.666666666666,9835.185185185184,896.8965517241379,8.475862068965515
67,CN0201300000000,2,13," Aleutians East Borough, AK",1642.3333333333333,1544.8214285714287,78.0,5.365517241379309
68,CN0201600000000,2,16," Aleutians West Census Area, AK",3298.4814814814813,3150.074074074074,150.68965517241378,4.7
69,CN0202000000000,2,20," Anchorage Borough/municipality, AK",144965.33333333334,136881.14814814815,8084.185185185185,5.56206896551724
70,CN0205000000000,2,50," Bethel Census Area, AK",6465.037037037037,5701.962962962963,773.551724137931,11.537931034482757
71,CN0206000000000,2,60," Bristol Bay Borough, AK",661.5,630.1724137931035,43.724137931034484,6.8034482758620705
72,CN0206800000000,2,68," Denali Borough, AK",1206.1851851851852,1095.5185185185185,109.93103448275862,9.217241379310344
73,CN0207000000000,2,70," Dillingham Census Area, AK",1879.8148148148148,1713.1851851851852,169.6551724137931,8.810344827586206
74,CN0209000000000,2,90," Fairbanks North Star Borough, AK",43670.18518518518,40734.11111111111,2936.074074074074,6.717241379310345
75,CN0210000000000,2,100," Haines Borough, AK",1207.5185185185185,1085.3703703703704,122.3103448275862,10.027586206896551
76,CN0210500000000,2,105," Hoonah-Angoon Census Area, AK",1130.5555555555557,973.5555555555555,157.0,13.922222222222224
77,CN0211000000000,2,110," Juneau Borough/city, AK",17320.40740740741,16391.11111111111,929.9655172413793,5.36551724137931
78,CN0212200000000,2,122," Kenai Peninsula Borough, AK",24387.222222222223,21967.333333333332,2419.8888888888887,10.017241379310345
79,CN0213000000000,2,130," Ketchikan Gateway Borough, AK",7592.777777777777,7016.222222222223,572.4137931034483,7.5137931034482754
80,CN0215000000000,2,150," Kodiak Island Borough, AK",6675.7037037037035,6156.851851851852,516.1724137931035,7.7137931034482765
81,CN0215800000000,2,158," Kusilvak Census Area, AK",2342.6296296296296,1922.6296296296296,427.51724137931035,17.396551724137936
82,CN0216400000000,2,164," Lake and Peninsula Borough, AK",728.0,671.8928571428571,67.20689655172414,9.258620689655173
83,CN0217000000000,2,170," Matanuska-Susitna Borough, AK",34614.81481481482,31588.48148148148,3026.3333333333335,8.93103448275862
84,CN0218000000000,2,180," Nome Census Area, AK",3738.777777777778,3309.8518518518517,432.55172413793105,11.50689655172414
85,CN0218500000000,2,185," North Slope Borough, AK",3699.740740740741,3463.703703703704,241.10344827586206,6.444827586206896
86,CN0218800000000,2,188," Northwest Arctic Borough, AK",2683.8888888888887,2300.074074074074,381.48275862068965,14.244827586206895
87,CN0219500000000,2,195," Petersburg Borough, AK",1620.5555555555557,1480.111111111111,140.44444444444446,8.71111111111111
88,CN0219800000000,2,198," Prince of Wales-Hyder Census Area, AK",2737.222222222222,2407.6666666666665,329.55555555555554,12.055555555555557
89,CN0220100000000,2,201," Prince of Wales-Outer Ketchikan Census Area, AK",2838.6111111111113,2468.0555555555557,367.15,13.245000000000001
90,CN0222000000000,2,220," Sitka Borough/city, AK",4558.888888888889,4297.666666666667,261.0344827586207,5.6965517241379295
91,CN0223000000000,2,230," Skagway Municipality, AK",785.6666666666666,688.7777777777778,96.88888888888889,12.444444444444445
92,CN0223200000000,2,232," Skagway-Hoonah-Angoon Census Area, AK",2120.5,1906.4444444444443,216.95,10.55
93,CN0224000000000,2,240," Southeast Fairbanks Census Area, AK",2740.703703703704,2421.814814814815,321.2068965517241,11.706896551724135
94,CN0226100000000,2,261," Valdez-Cordova Census Area, AK",5117.62962962963,4640.518518518518,476.7241379310345,9.289655172413791
95,CN0227500000000,2,275," Wrangell Borough/city, AK",1045.6666666666667,964.1111111111111,81.55555555555556,7.800000000000001
96,CN0228000000000,2,280," Wrangell-Petersburg Census Area, AK",3326.6666666666665,2993.0555555555557,328.95,10.069999999999999
97,CN0228200000000,2,282," Yakutat Borough/city, AK",300.08,271.88,28.2,9.399999999999999
98,CN0229000000000,2,290," Yukon-Koyukuk Census Area, AK",2458.074074074074,2078.8518518518517,378.3448275862069,15.320689655172412
99,CN0400100000000,4,1," Apache County, AZ",20667.74074074074,17704.925925925927,2962.814814814815,13.96896551724138
100,CN0400300000000,4,3," Cochise County, AZ",48824.851851851854,45269.92592592593,3554.925925925926,7.16551724137931
101,CN0400500000000,4,5," Coconino County, AZ",65434.2962962963,60816.81481481482,4617.481481481482,6.941379310344828
102,CN0400700000000,4,7," Gila County, AZ",20147.296296296296,18522.703703703704,1624.5925925925926,7.896551724137931
103,CN0400900000000,4,9," Graham County, AZ",12693.666666666666,11662.444444444445,1008.5172413793103,7.944827586206897
104,CN0401100000000,4,11," Greenlee County, AZ",4079.5185185185187,3757.5555555555557,310.51724137931035,7.675862068965518
105,CN0401200000000,4,12," La Paz County, AZ",7293.925925925926,6678.851851851852,606.1034482758621,8.482758620689655
106,CN0401300000000,4,13," Maricopa County, AZ",1691145.8148148148,1603280.037037037,87865.77777777778,5.006896551724137
107,CN0401500000000,4,15," Mohave County, AZ",72145.29629629629,66824.48148148147,5320.814814814815,7.100000000000001
108,CN0401700000000,4,17," Navajo County, AZ",36576.333333333336,32340.48148148148,4235.851851851852,11.406896551724138
109,CN0401900000000,4,19," Pima County, AZ",422730.55555555556,400547.85185185185,22182.703703703704,5.082758620689655
110,CN0402100000000,4,21," Pinal County, AZ",99685.03703703704,92760.55555555556,6924.481481481482,6.586206896551724
111,CN0402300000000,4,23," Santa Cruz County, AZ",16807.25925925926,14462.925925925925,2344.3333333333335,13.675862068965516
112,CN0402500000000,4,25," Yavapai County, AZ",80597.14814814815,75854.44444444444,4742.7037037037035,5.63448275862069
113,CN0402700000000,4,27," Yuma County, AZ",76526.51851851853,59429.148148148146,17097.37037037037,22.055172413793105
114,CN0500100000000,5,1," Arkansas County, AR",10453.592592592593,9721.185185185184,740.0,6.86551724137931
115,CN0500300000000,5,3," Ashley County, AR",9940.555555555555,9146.666666666666,792.0,8.010344827586206
116,CN0500500000000,5,5," Baxter County, AR",15428.407407407407,14530.555555555555,901.1034482758621,5.724137931034483
117,CN0500700000000,5,7," Benton County, AR",89172.66666666667,85679.29629629629,3493.3703703703704,3.6931034482758625
118,CN0500900000000,5,9," Boone County, AR",15633.555555555555,14758.703703703704,873.0344827586207,5.537931034482758
119,CN0501100000000,5,11," Bradley County, AR",4921.592592592592,4495.7037037037035,425.2068965517241,8.562068965517241
120,CN0501300000000,5,13," Calhoun County, AR",2474.259259259259,2280.5925925925926,193.0344827586207,7.751724137931034
121,CN0501500000000,5,15," Carroll County, AR",12483.37037037037,11852.777777777777,629.2068965517242,5.027586206896551
122,CN0501700000000,5,17," Chicot County, AR",5140.2962962962965,4649.259259259259,488.51724137931035,9.524137931034485
123,CN0501900000000,5,19," Clark County, AR",10728.592592592593,10133.62962962963,598.2758620689655,5.63448275862069
124,CN0502100000000,5,21," Clay County, AR",7384.259259259259,6811.407407407408,573.8620689655172,7.789655172413793
125,CN0502300000000,5,23," Cleburne County, AR",10005.666666666666,9369.296296296296,632.1724137931035,6.26896551724138
126,CN0502500000000,5,25," Cleveland County, AR",3791.185185185185,3553.1481481481483,239.10344827586206,6.241379310344828
127,CN0502700000000,5,27," Columbia County, AR",10815.481481481482,10047.111111111111,762.8620689655172,7.020689655172413
128,CN0502900000000,5,29," Conway County, AR",9269.666666666666,8674.777777777777,587.7931034482758,6.341379310344827
129,CN0503100000000,5,31," Craighead County, AR",44746.18518518518,42501.25925925926,2244.925925925926,5.017241379310345
130,CN0503300000000,5,33," Crawford County, AR",25449.51851851852,23988.777777777777,1460.7407407407406,5.679310344827587
131,CN0503500000000,5,35," Crittenden County, AR",22087.88888888889,20590.333333333332,1497.5555555555557,6.772413793103448
132,CN0503700000000,5,37," Cross County, AR",8470.592592592593,7888.148148148148,586.0689655172414,6.8724137931034495
133,CN0503900000000,5,39," Dallas County, AR",3585.296296296296,3294.5555555555557,288.9310344827586,7.993103448275861
134,CN0504100000000,5,41," Desha County, AR",6353.481481481482,5777.0,574.8620689655172,8.993103448275862
135,CN0504300000000,5,43," Drew County, AR",8796.814814814816,8094.481481481482,702.8620689655172,8.020689655172415
136,CN0504500000000,5,45," Faulkner County, AR",48932.11111111111,46384.81481481482,2547.296296296296,5.1931034482758625
137,CN0504700000000,5,47," Franklin County, AR",7814.592592592592,7412.481481481482,399.6896551724138,5.120689655172413
138,CN0504900000000,5,49," Fulton County, AR",4736.0,4467.777777777777,268.0,5.6
139,CN0505100000000,5,51," Garland County, AR",38439.7037037037,36113.37037037037,2326.3333333333335,6.013793103448277
140,CN0505300000000,5,53," Grant County, AR",7933.518518518518,7511.962962962963,421.58620689655174,5.2620689655172415
141,CN0505500000000,5,55," Greene County, AR",18319.37037037037,17147.444444444445,1171.9259259259259,6.362068965517239
142,CN0505700000000,5,57," Hempstead County, AR",10790.74074074074,10089.444444444445,695.3103448275862,6.417241379310346
143,CN0505900000000,5,59," Hot Spring County, AR",13495.555555555555,12645.481481481482,846.8275862068965,6.262068965517242
144,CN0506100000000,5,61," Howard County, AR",6539.074074074074,6164.7037037037035,372.62068965517244,5.689655172413793
145,CN0506300000000,5,63," Independence County, AR",16563.40740740741,15485.666666666666,1073.857142857143,6.4655172413793105
146,CN0506500000000,5,65," Izard County, AR",4802.111111111111,4460.2962962962965,341.37931034482756,7.0551724137931044
147,CN0506700000000,5,67," Jackson County, AR",7435.481481481482,6720.740740740741,708.8275862068965,9.403448275862068
148,CN0506900000000,5,69," Jefferson County, AR",34638.88888888889,31739.333333333332,2899.5555555555557,8.262068965517242
149,CN0507100000000,5,71," Johnson County, AR",10393.185185185184,9817.444444444445,574.3103448275862,5.527586206896552
150,CN0507300000000,5,73," Lafayette County, AR",3205.0,2965.185185185185,239.17241379310346,7.458620689655172
151,CN0507500000000,5,75," Lawrence County, AR",7503.555555555556,6948.333333333333,553.7241379310345,7.348275862068966
152,CN0507700000000,5,77," Lee County, AR",3915.5925925925926,3544.074074074074,369.6896551724138,9.293103448275861
153,CN0507900000000,5,79," Lincoln County, AR",4861.444444444444,4503.777777777777,360.9655172413793,7.355172413793104
154,CN0508100000000,5,81," Little River County, AR",6047.222222222223,5670.666666666667,371.3103448275862,6.162068965517243
155,CN0508300000000,5,83," Logan County, AR",9754.481481481482,9172.333333333334,576.3448275862069,5.882758620689655
156,CN0508500000000,5,85," Lonoke County, AR",28207.74074074074,26906.48148148148,1301.2592592592594,4.575862068965516
157,CN0508700000000,5,87," Madison County, AR",7027.333333333333,6725.851851851852,300.55172413793105,4.258620689655173
158,CN0508900000000,5,89," Marion County, AR",6275.7037037037035,5911.7037037037035,363.48275862068965,5.703448275862068
159,CN0509100000000,5,91," Miller County, AR",18665.0,17622.777777777777,1034.344827586207,5.551724137931035
160,CN0509300000000,5,93," Mississippi County, AR",22630.185185185186,20362.85185185185,2267.3333333333335,9.810344827586206
161,CN0509500000000,5,95," Monroe County, AR",3796.4444444444443,3511.1481481481483,284.1034482758621,7.379310344827586
162,CN0509700000000,5,97," Montgomery County, AR",3786.814814814815,3578.703703703704,208.20689655172413,5.475862068965518
163,CN0509900000000,5,99," Nevada County, AR",4372.259259259259,4083.777777777778,285.7931034482759,6.4896551724137925
164,CN0510100000000,5,101," Newton County, AR",3329.3703703703704,3125.4074074074074,202.6206896551724,6.086206896551725
165,CN0510300000000,5,103," Ouachita County, AR",11727.444444444445,10674.111111111111,1047.3214285714287,8.717241379310344
166,CN0510500000000,5,105," Perry County, AR",4244.962962962963,3950.8518518518517,291.0,6.855172413793104
167,CN0510700000000,5,107," Phillips County, AR",9115.703703703704,8271.481481481482,839.3793103448276,9.082758620689654
168,CN0510900000000,5,109," Pike County, AR",4786.444444444444,4483.481481481482,300.0,6.275862068965517
169,CN0511100000000,5,111," Poinsett County, AR",10800.777777777777,10029.518518518518,770.3793103448276,7.093103448275863
170,CN0511300000000,5,113," Polk County, AR",8583.703703703704,8103.962962962963,476.3448275862069,5.537931034482758
171,CN0511500000000,5,115," Pope County, AR",27829.25925925926,26290.51851851852,1538.7407407407406,5.451724137931035
172,CN0511700000000,5,117," Prairie County, AR",4074.6666666666665,3799.703703703704,273.62068965517244,6.693103448275861
173,CN0511900000000,5,119," Pulaski County, AR",188871.59259259258,179579.0,9292.592592592593,4.927586206896552
174,CN0512100000000,5,121," Randolph County, AR",7468.0,6833.925925925926,630.9310344827586,8.410344827586206
175,CN0512300000000,5,123," St. Francis County, AR",10749.25925925926,9724.925925925925,1018.8620689655172,9.337931034482759
176,CN0512500000000,5,125," Saline County, AR",46170.96296296296,44124.555555555555,2046.4074074074074,4.413793103448275
177,CN0512700000000,5,127," Scott County, AR",4776.962962962963,4556.888888888889,219.72413793103448,4.610344827586206
178,CN0512900000000,5,129," Searcy County, AR",3168.4444444444443,2961.3703703703704,204.51724137931035,6.4206896551724135
179,CN0513100000000,5,131," Sebastian County, AR",57019.2962962963,53911.51851851852,3107.777777777778,5.382758620689654
180,CN0513300000000,5,133," Sevier County, AR",6771.962962962963,6402.0,366.48275862068965,5.427586206896551
181,CN0513500000000,5,135," Sharp County, AR",6051.0,5607.7037037037035,444.2068965517241,7.293103448275862
182,CN0513700000000,5,137," Stone County, AR",4810.851851851852,4504.333333333333,304.62068965517244,6.341379310344828
183,CN0513900000000,5,139," Union County, AR",19252.11111111111,17881.703703703704,1370.4074074074074,7.1241379310344835
184,CN0514100000000,5,141," Van Buren County, AR",6405.518518518518,5908.518518518518,492.41379310344826,7.648275862068965
185,CN0514300000000,5,143," Washington County, AR",91145.07407407407,87620.22222222222,3524.8518518518517,3.7793103448275853
186,CN0514500000000,5,145," White County, AR",31925.11111111111,29808.703703703704,2116.4074074074074,6.6068965517241365
187,CN0514700000000,5,147," Woodruff County, AR",3675.1481481481483,3339.5555555555557,333.58620689655174,8.979310344827585
188,CN0514900000000,5,149," Yell County, AR",9439.296296296296,8961.666666666666,476.9310344827586,5.003448275862068
189,CN0600100000000,6,1," Alameda County, CA",749855.5185185185,705637.4814814815,44218.03703703704,5.810344827586207
190,CN0600300000000,6,3," Alpine County, CA",497.7586206896552,451.62068965517244,46.13793103448276,9.486206896551723
191,CN0600500000000,6,5," Amador County, CA",14627.592592592593,13526.555555555555,1090.0344827586207,7.355172413793104
192,CN0600700000000,6,7," Butte County, CA",93652.11111111111,85332.33333333333,8319.777777777777,8.744827586206895
193,CN0600900000000,6,9," Calaveras County, CA",18049.037037037036,16484.25925925926,1564.7777777777778,8.568965517241379
194,CN0601100000000,6,11," Colusa County, CA",9779.222222222223,8133.0,1646.2222222222222,16.551724137931032
195,CN0601300000000,6,13," Contra Costa County, CA",501443.6666666667,472293.7037037037,29149.962962962964,5.706896551724138
196,CN0601500000000,6,15," Del Norte County, CA",10251.481481481482,9204.222222222223,1028.0,9.996551724137932
197,CN0601700000000,6,17," El Dorado County, CA",82168.77777777778,76699.66666666667,5469.111111111111,6.496551724137929
198,CN0601900000000,6,19," Fresno County, CA",401818.48148148146,352083.18518518517,49735.2962962963,12.175862068965518
199,CN0602100000000,6,21," Glenn County, CA",11895.518518518518,10456.222222222223,1405.5862068965516,11.868965517241381
200,CN0602300000000,6,23," Humboldt County, CA",60943.96296296296,56395.07407407407,4548.888888888889,7.351724137931032
201,CN0602500000000,6,25," Imperial County, CA",64263.74074074074,48931.148148148146,15332.592592592593,23.231034482758623
202,CN0602700000000,6,27," Inyo County, CA",8420.222222222223,7812.259259259259,595.8620689655172,7.1448275862068975
203,CN0602900000000,6,29," Kern County, CA",325495.7037037037,287869.48148148146,37626.22222222222,11.389655172413791
204,CN0603100000000,6,31," Kings County, CA",50747.62962962963,44509.666666666664,6237.962962962963,12.144827586206892
205,CN0603300000000,6,33," Lake County, CA",25507.0,22945.51851851852,2561.4814814814813,9.906896551724136
206,CN0603500000000,6,35," Lassen County, CA",11355.444444444445,10277.37037037037,1070.8275862068965,9.33448275862069
207,CN0603700000000,6,37," Los Angeles County, CA",4723399.037037037,4358348.851851852,365050.18518518517,7.565517241379312
208,CN0603900000000,6,39," Madera County, CA",56361.96296296296,49606.2962962963,6755.666666666667,11.820689655172414
209,CN0604100000000,6,41," Marin County, CA",134099.11111111112,128388.22222222222,5710.888888888889,4.2379310344827585
210,CN0604300000000,6,43," Mariposa County, CA",7909.62962962963,7253.814814814815,647.4137931034483,8.100000000000001
211,CN0604500000000,6,45," Mendocino County, CA",41604.77777777778,38319.11111111111,3285.6666666666665,7.744827586206897
212,CN0604700000000,6,47," Merced County, CA",97468.48148148147,84298.37037037036,13170.111111111111,13.362068965517242
213,CN0604900000000,6,49," Modoc County, CA",3809.4074074074074,3403.185185185185,399.82758620689657,10.420689655172414
214,CN0605100000000,6,51," Mono County, CA",7441.62962962963,6890.814814814815,539.2758620689655,7.382758620689656
215,CN0605300000000,6,53," Monterey County, CA",200305.74074074073,180656.74074074073,19649.0,9.710344827586209
216,CN0605500000000,6,55," Napa County, CA",67044.11111111111,63279.59259259259,3764.5185185185187,5.517241379310345
217,CN0605700000000,6,57," Nevada County, CA",45438.40740740741,42455.40740740741,2983.0,6.417241379310344
218,CN0605900000000,6,59," Orange County, CA",1489750.148148148,1412969.6296296297,76780.51851851853,5.03448275862069
219,CN0606100000000,6,61," Placer County, CA",143367.40740740742,134564.7037037037,8802.703703703704,5.931034482758621
220,CN0606300000000,6,63," Plumas County, CA",9327.444444444445,8256.555555555555,1053.0689655172414,11.251724137931035
221,CN0606500000000,6,65," Riverside County, CA",804200.5555555555,737285.7037037037,66914.85185185185,8.144827586206896
222,CN0606700000000,6,67," Sacramento County, CA",623231.8518518518,580543.0370370371,42688.81481481482,6.658620689655173
223,CN0606900000000,6,69," San Benito County, CA",26105.703703703704,23362.48148148148,2743.222222222222,10.537931034482762
224,CN0607100000000,6,71," San Bernardino County, CA",798480.5555555555,737631.5555555555,60849.0,7.413793103448277
225,CN0607300000000,6,73," San Diego County, CA",1415004.1851851852,1330642.5185185184,84361.66666666667,5.806896551724138
226,CN0607500000000,6,75," San Francisco County/city, CA",460026.85185185185,435969.7037037037,24057.14814814815,5.248275862068967
227,CN0607700000000,6,77," San Joaquin County, CA",277149.85185185185,247360.59259259258,29789.25925925926,10.56551724137931
228,CN0607900000000,6,79," San Luis Obispo County, CA",122570.55555555556,115574.48148148147,6996.074074074074,5.606896551724137
229,CN0608100000000,6,81," San Mateo County, CA",392459.48148148146,375275.962962963,17183.51851851852,4.379310344827586
230,CN0608300000000,6,83," Santa Barbara County, CA",205897.8148148148,193658.4814814815,12239.333333333334,5.813793103448275
231,CN0608500000000,6,85," Santa Clara County, CA",917348.2222222222,865997.6666666666,51350.555555555555,5.620689655172414
232,CN0608700000000,6,87," Santa Cruz County, CA",142368.2962962963,130543.14814814815,11825.148148148148,8.158620689655173
233,CN0608900000000,6,89," Shasta County, CA",75601.74074074074,68201.92592592593,7399.814814814815,9.586206896551722
234,CN0609100000000,6,91," Sierra County, CA",1588.8148148148148,1425.2222222222222,160.89655172413794,10.096551724137933
235,CN0609300000000,6,93," Siskiyou County, CA",18766.59259259259,16564.85185185185,2201.740740740741,11.455172413793106
236,CN0609500000000,6,95," Solano County, CA",193732.03703703705,180184.40740740742,13547.62962962963,6.8517241379310345
237,CN0609700000000,6,97," Sonoma County, CA",244276.92592592593,230939.74074074073,13337.185185185184,5.382758620689655
238,CN0609900000000,6,99," Stanislaus County, CA",218120.1851851852,192031.4814814815,26088.703703703704,11.803448275862067
239,CN0610100000000,6,101," Sutter County, CA",39656.81481481482,34273.07407407407,5383.740740740741,13.410344827586206
240,CN0610300000000,6,103," Tehama County, CA",24343.074074074073,21977.40740740741,2365.6666666666665,9.527586206896551
241,CN0610500000000,6,105," Trinity County, CA",5152.962962962963,4520.259259259259,624.5172413793103,12.068965517241379
242,CN0610700000000,6,107," Tulare County, CA",180811.03703703705,155885.14814814815,24925.88888888889,13.582758620689654
243,CN0610900000000,6,109," Tuolumne County, CA",22129.88888888889,20186.48148148148,1943.4074074074074,8.620689655172413
244,CN0611100000000,6,111," Ventura County, CA",405264.3703703704,377994.48148148146,27269.88888888889,6.558620689655172
245,CN0611300000000,6,113," Yolo County, CA",93233.14814814815,86562.4074074074,6670.740740740741,6.9896551724137925
246,CN0611500000000,6,115," Yuba County, CA",25210.51851851852,22119.037037037036,3091.4814814814813,12.117241379310345
247,CN0800100000000,8,1," Adams County, CO",203158.77777777778,191967.11111111112,11191.666666666666,5.396551724137931
